postcode;city;state;lat;lon
00-095;Warszawa;mazowieckie;52,241625;21,009398
00-096;Warszawa;mazowieckie;52,241625;21,009398
00-097;Warszawa;mazowieckie;52,241625;21,009398
00-098;Warszawa;mazowieckie;52,241625;21,009398
00-099;Warszawa;mazowieckie;52,241625;21,009398
00-099;Warszawa;mazowieckie;52,241625;21,009398
00-100;Warszawa;mazowieckie;52,241625;21,009398
00-102;Warszawa;mazowieckie;52,241625;21,009398
00-103;Warszawa;mazowieckie;52,241625;21,009398
00-104;Warszawa;mazowieckie;52,241625;21,009398
00-105;Warszawa;mazowieckie;52,241625;21,009398
00-107;Warszawa;mazowieckie;52,241625;21,009398
00-108;Warszawa;mazowieckie;52,241625;21,009398
00-109;Warszawa;mazowieckie;52,241625;21,009398
00-110;Warszawa;mazowieckie;52,241625;21,009398
00-110;Warszawa;mazowieckie;52,241625;21,009398
00-111;Warszawa;mazowieckie;52,241625;21,009398
00-112;Warszawa;mazowieckie;52,241625;21,009398
00-113;Warszawa;mazowieckie;52,241625;21,009398
00-114;Warszawa;mazowieckie;52,241625;21,009398
00-115;Warszawa;mazowieckie;52,241625;21,009398
00-116;Warszawa;mazowieckie;52,241625;21,009398
00-116;Warszawa;mazowieckie;52,241625;21,009398
00-117;Warszawa;mazowieckie;52,241625;21,009398
00-117;Warszawa;mazowieckie;52,241625;21,009398
00-118;Warszawa;mazowieckie;52,241625;21,009398
00-119;Warszawa;mazowieckie;52,241625;21,009398
00-120;Warszawa;mazowieckie;52,241625;21,009398
00-121;Warszawa;mazowieckie;52,241625;21,009398
00-123;Warszawa;mazowieckie;52,241625;21,009398
00-124;Warszawa;mazowieckie;52,241625;21,009398
00-124;Warszawa;mazowieckie;52,241625;21,009398
00-124;Warszawa;mazowieckie;52,241625;21,009398
00-125;Warszawa;mazowieckie;52,241625;21,009398
00-126;Warszawa;mazowieckie;52,241625;21,009398
00-127;Warszawa;mazowieckie;52,241625;21,009398
00-130;Warszawa;mazowieckie;52,241625;21,009398
00-131;Warszawa;mazowieckie;52,241625;21,009398
00-132;Warszawa;mazowieckie;52,241625;21,009398
00-133;Warszawa;mazowieckie;52,241625;21,009398
00-135;Warszawa;mazowieckie;52,241625;21,009398
00-136;Warszawa;mazowieckie;52,241625;21,009398
00-137;Warszawa;mazowieckie;52,241625;21,009398
00-138;Warszawa;mazowieckie;52,241625;21,009398
00-138;Warszawa;mazowieckie;52,241625;21,009398
00-138;Warszawa;mazowieckie;52,241625;21,009398
00-139;Warszawa;mazowieckie;52,241625;21,009398
00-139;Warszawa;mazowieckie;52,241625;21,009398
00-140;Warszawa;mazowieckie;52,241625;21,009398
00-141;Warszawa;mazowieckie;52,241625;21,009398
00-142;Warszawa;mazowieckie;52,241625;21,009398
00-143;Warszawa;mazowieckie;52,241625;21,009398
00-144;Warszawa;mazowieckie;52,241625;21,009398
00-145;Warszawa;mazowieckie;52,241625;21,009398
00-145;Warszawa;mazowieckie;52,241625;21,009398
00-146;Warszawa;mazowieckie;52,241625;21,009398
00-147;Warszawa;mazowieckie;52,241625;21,009398
00-148;Warszawa;mazowieckie;52,241625;21,009398
00-149;Warszawa;mazowieckie;52,241625;21,009398
00-150;Warszawa;mazowieckie;52,241625;21,009398
00-151;Warszawa;mazowieckie;52,241625;21,009398
00-152;Warszawa;mazowieckie;52,241625;21,009398
00-153;Warszawa;mazowieckie;52,241625;21,009398
00-153;Warszawa;mazowieckie;52,241625;21,009398
00-154;Warszawa;mazowieckie;52,241625;21,009398
00-155;Warszawa;mazowieckie;52,241625;21,009398
00-156;Warszawa;mazowieckie;52,241625;21,009398
00-157;Warszawa;mazowieckie;52,241625;21,009398
00-158;Warszawa;mazowieckie;52,241625;21,009398
00-159;Warszawa;mazowieckie;52,241625;21,009398
00-159;Warszawa;mazowieckie;52,241625;21,009398
00-160;Warszawa;mazowieckie;52,241625;21,009398
00-160;Warszawa;mazowieckie;52,241625;21,009398
00-161;Warszawa;mazowieckie;52,241625;21,009398
00-162;Warszawa;mazowieckie;52,241625;21,009398
00-163;Warszawa;mazowieckie;52,241625;21,009398
00-164;Warszawa;mazowieckie;52,241625;21,009398
00-165;Warszawa;mazowieckie;52,241625;21,009398
00-166;Warszawa;mazowieckie;52,241625;21,009398
00-167;Warszawa;mazowieckie;52,241625;21,009398
00-168;Warszawa;mazowieckie;52,241625;21,009398
00-169;Warszawa;mazowieckie;52,241625;21,009398
00-170;Warszawa;mazowieckie;52,241625;21,009398
00-171;Warszawa;mazowieckie;52,241625;21,009398
00-172;Warszawa;mazowieckie;52,241625;21,009398
00-173;Warszawa;mazowieckie;52,241625;21,009398
00-174;Warszawa;mazowieckie;52,241625;21,009398
00-175;Warszawa;mazowieckie;52,241625;21,009398
00-176;Warszawa;mazowieckie;52,241625;21,009398
00-177;Warszawa;mazowieckie;52,241625;21,009398
00-178;Warszawa;mazowieckie;52,241625;21,009398
00-179;Warszawa;mazowieckie;52,241625;21,009398
00-180;Warszawa;mazowieckie;52,241625;21,009398
00-181;Warszawa;mazowieckie;52,241625;21,009398
00-182;Warszawa;mazowieckie;52,241625;21,009398
00-183;Warszawa;mazowieckie;52,241625;21,009398
00-184;Warszawa;mazowieckie;52,241625;21,009398
00-185;Warszawa;mazowieckie;52,241625;21,009398
00-186;Warszawa;mazowieckie;52,241625;21,009398
00-187;Warszawa;mazowieckie;52,241625;21,009398
00-187;Warszawa;mazowieckie;52,241625;21,009398
00-188;Warszawa;mazowieckie;52,241625;21,009398
00-189;Warszawa;mazowieckie;52,241625;21,009398
00-190;Warszawa;mazowieckie;52,241625;21,009398
00-191;Warszawa;mazowieckie;52,241625;21,009398
00-192;Warszawa;mazowieckie;52,241625;21,009398
00-193;Warszawa;mazowieckie;52,241625;21,009398
00-194;Warszawa;mazowieckie;52,241625;21,009398
00-195;Warszawa;mazowieckie;52,241625;21,009398
00-196;Warszawa;mazowieckie;52,241625;21,009398
00-197;Warszawa;mazowieckie;52,241625;21,009398
00-198;Warszawa;mazowieckie;52,241625;21,009398
00-199;Warszawa;mazowieckie;52,241625;21,009398
00-200;Warszawa;mazowieckie;52,241625;21,009398
00-201;Warszawa;mazowieckie;52,241625;21,009398
00-202;Warszawa;mazowieckie;52,241625;21,009398
00-202;Warszawa;mazowieckie;52,241625;21,009398
00-203;Warszawa;mazowieckie;52,241625;21,009398
00-204;Warszawa;mazowieckie;52,241625;21,009398
00-205;Warszawa;mazowieckie;52,241625;21,009398
00-206;Warszawa;mazowieckie;52,241625;21,009398
00-207;Warszawa;mazowieckie;52,241625;21,009398
00-208;Warszawa;mazowieckie;52,241625;21,009398
00-209;Warszawa;mazowieckie;52,241625;21,009398
00-210;Warszawa;mazowieckie;52,241625;21,009398
00-211;Warszawa;mazowieckie;52,241625;21,009398
00-213;Warszawa;mazowieckie;52,241625;21,009398
00-214;Warszawa;mazowieckie;52,241625;21,009398
00-215;Warszawa;mazowieckie;52,241625;21,009398
00-215;Warszawa;mazowieckie;52,241625;21,009398
00-215;Warszawa;mazowieckie;52,241625;21,009398
00-216;Warszawa;mazowieckie;52,241625;21,009398
00-217;Warszawa;mazowieckie;52,241625;21,009398
00-218;Warszawa;mazowieckie;52,241625;21,009398
00-219;Warszawa;mazowieckie;52,241625;21,009398
00-220;Warszawa;mazowieckie;52,241625;21,009398
00-220;Warszawa;mazowieckie;52,241625;21,009398
00-221;Warszawa;mazowieckie;52,241625;21,009398
00-221;Warszawa;mazowieckie;52,241625;21,009398
00-222;Warszawa;mazowieckie;52,241625;21,009398
00-223;Warszawa;mazowieckie;52,241625;21,009398
00-224;Warszawa;mazowieckie;52,241625;21,009398
00-224;Warszawa;mazowieckie;52,241625;21,009398
00-225;Warszawa;mazowieckie;52,241625;21,009398
00-225;Warszawa;mazowieckie;52,241625;21,009398
00-227;Warszawa;mazowieckie;52,241625;21,009398
00-227;Warszawa;mazowieckie;52,241625;21,009398
00-228;Warszawa;mazowieckie;52,241625;21,009398
00-229;Warszawa;mazowieckie;52,241625;21,009398
00-230;Warszawa;mazowieckie;52,241625;21,009398
00-231;Warszawa;mazowieckie;52,241625;21,009398
00-231;Warszawa;mazowieckie;52,241625;21,009398
00-232;Warszawa;mazowieckie;52,241625;21,009398
00-232;Warszawa;mazowieckie;52,241625;21,009398
00-233;Warszawa;mazowieckie;52,241625;21,009398
00-234;Warszawa;mazowieckie;52,241625;21,009398
00-235;Warszawa;mazowieckie;52,241625;21,009398
00-236;Warszawa;mazowieckie;52,241625;21,009398
00-237;Warszawa;mazowieckie;52,241625;21,009398
00-238;Warszawa;mazowieckie;52,241625;21,009398
00-240;Warszawa;mazowieckie;52,241625;21,009398
00-241;Warszawa;mazowieckie;52,241625;21,009398
00-242;Warszawa;mazowieckie;52,241625;21,009398
00-243;Warszawa;mazowieckie;52,241625;21,009398
00-244;Warszawa;mazowieckie;52,241625;21,009398
00-245;Warszawa;mazowieckie;52,241625;21,009398
00-246;Warszawa;mazowieckie;52,241625;21,009398
00-248;Warszawa;mazowieckie;52,241625;21,009398
00-249;Warszawa;mazowieckie;52,241625;21,009398
00-251;Warszawa;mazowieckie;52,241625;21,009398
00-252;Warszawa;mazowieckie;52,241625;21,009398
00-253;Warszawa;mazowieckie;52,241625;21,009398
00-254;Warszawa;mazowieckie;52,241625;21,009398
00-255;Warszawa;mazowieckie;52,241625;21,009398
00-256;Warszawa;mazowieckie;52,241625;21,009398
00-257;Warszawa;mazowieckie;52,241625;21,009398
00-258;Warszawa;mazowieckie;52,241625;21,009398
00-259;Warszawa;mazowieckie;52,241625;21,009398
00-260;Warszawa;mazowieckie;52,241625;21,009398
00-260;Warszawa;mazowieckie;52,241625;21,009398
00-261;Warszawa;mazowieckie;52,241625;21,009398
00-262;Warszawa;mazowieckie;52,241625;21,009398
00-263;Warszawa;mazowieckie;52,241625;21,009398
00-264;Warszawa;mazowieckie;52,241625;21,009398
00-265;Warszawa;mazowieckie;52,241625;21,009398
00-266;Warszawa;mazowieckie;52,241625;21,009398
00-267;Warszawa;mazowieckie;52,241625;21,009398
00-268;Warszawa;mazowieckie;52,241625;21,009398
00-270;Warszawa;mazowieckie;52,241625;21,009398
00-271;Warszawa;mazowieckie;52,241625;21,009398
00-272;Warszawa;mazowieckie;52,241625;21,009398
00-273;Warszawa;mazowieckie;52,241625;21,009398
00-274;Warszawa;mazowieckie;52,241625;21,009398
00-275;Warszawa;mazowieckie;52,241625;21,009398
00-277;Warszawa;mazowieckie;52,241625;21,009398
00-278;Warszawa;mazowieckie;52,241625;21,009398
00-279;Warszawa;mazowieckie;52,241625;21,009398
00-280;Warszawa;mazowieckie;52,241625;21,009398
00-280;Warszawa;mazowieckie;52,241625;21,009398
00-281;Warszawa;mazowieckie;52,241625;21,009398
00-282;Warszawa;mazowieckie;52,241625;21,009398
00-283;Warszawa;mazowieckie;52,241625;21,009398
00-284;Warszawa;mazowieckie;52,241625;21,009398
00-285;Warszawa;mazowieckie;52,241625;21,009398
00-286;Warszawa;mazowieckie;52,241625;21,009398
00-287;Warszawa;mazowieckie;52,241625;21,009398
00-288;Warszawa;mazowieckie;52,241625;21,009398
00-301;Warszawa;mazowieckie;52,241625;21,009398
00-302;Warszawa;mazowieckie;52,241625;21,009398
00-303;Warszawa;mazowieckie;52,241625;21,009398
00-304;Warszawa;mazowieckie;52,241625;21,009398
00-305;Warszawa;mazowieckie;52,241625;21,009398
00-306;Warszawa;mazowieckie;52,241625;21,009398
00-307;Warszawa;mazowieckie;52,241625;21,009398
00-308;Warszawa;mazowieckie;52,241625;21,009398
00-309;Warszawa;mazowieckie;52,241625;21,009398
00-310;Warszawa;mazowieckie;52,241625;21,009398
00-311;Warszawa;mazowieckie;52,241625;21,009398
00-312;Warszawa;mazowieckie;52,241625;21,009398
00-313;Warszawa;mazowieckie;52,241625;21,009398
00-314;Warszawa;mazowieckie;52,241625;21,009398
00-315;Warszawa;mazowieckie;52,241625;21,009398
00-316;Warszawa;mazowieckie;52,241625;21,009398
00-317;Warszawa;mazowieckie;52,241625;21,009398
00-318;Warszawa;mazowieckie;52,241625;21,009398
00-321;Warszawa;mazowieckie;52,241625;21,009398
00-322;Warszawa;mazowieckie;52,241625;21,009398
00-324;Warszawa;mazowieckie;52,241625;21,009398
00-325;Warszawa;mazowieckie;52,241625;21,009398
00-327;Warszawa;mazowieckie;52,241625;21,009398
00-327;Warszawa;mazowieckie;52,241625;21,009398
00-328;Warszawa;mazowieckie;52,241625;21,009398
00-330;Warszawa;mazowieckie;52,241625;21,009398
00-331;Warszawa;mazowieckie;52,241625;21,009398
00-332;Warszawa;mazowieckie;52,241625;21,009398
00-333;Warszawa;mazowieckie;52,241625;21,009398
00-334;Warszawa;mazowieckie;52,241625;21,009398
00-335;Warszawa;mazowieckie;52,241625;21,009398
00-336;Warszawa;mazowieckie;52,241625;21,009398
00-337;Warszawa;mazowieckie;52,241625;21,009398
00-338;Warszawa;mazowieckie;52,241625;21,009398
00-339;Warszawa;mazowieckie;52,241625;21,009398
00-340;Warszawa;mazowieckie;52,241625;21,009398
00-341;Warszawa;mazowieckie;52,241625;21,009398
00-342;Warszawa;mazowieckie;52,241625;21,009398
00-343;Warszawa;mazowieckie;52,241625;21,009398
00-344;Warszawa;mazowieckie;52,241625;21,009398
00-345;Warszawa;mazowieckie;52,241625;21,009398
00-346;Warszawa;mazowieckie;52,241625;21,009398
00-347;Warszawa;mazowieckie;52,241625;21,009398
00-348;Warszawa;mazowieckie;52,241625;21,009398
00-349;Warszawa;mazowieckie;52,241625;21,009398
00-350;Warszawa;mazowieckie;52,241625;21,009398
00-351;Warszawa;mazowieckie;52,241625;21,009398
00-353;Warszawa;mazowieckie;52,241625;21,009398
00-354;Warszawa;mazowieckie;52,241625;21,009398
00-355;Warszawa;mazowieckie;52,241625;21,009398
00-356;Warszawa;mazowieckie;52,241625;21,009398
00-357;Warszawa;mazowieckie;52,241625;21,009398
00-358;Warszawa;mazowieckie;52,241625;21,009398
00-359;Warszawa;mazowieckie;52,241625;21,009398
00-360;Warszawa;mazowieckie;52,241625;21,009398
00-362;Warszawa;mazowieckie;52,241625;21,009398
00-362;Warszawa;mazowieckie;52,241625;21,009398
00-363;Warszawa;mazowieckie;52,241625;21,009398
00-364;Warszawa;mazowieckie;52,241625;21,009398
00-365;Warszawa;mazowieckie;52,241625;21,009398
00-366;Warszawa;mazowieckie;52,241625;21,009398
00-367;Warszawa;mazowieckie;52,241625;21,009398
00-368;Warszawa;mazowieckie;52,241625;21,009398
00-369;Warszawa;mazowieckie;52,241625;21,009398
00-370;Warszawa;mazowieckie;52,241625;21,009398
00-370;Warszawa;mazowieckie;52,241625;21,009398
00-372;Warszawa;mazowieckie;52,241625;21,009398
00-373;Warszawa;mazowieckie;52,241625;21,009398
00-373;Warszawa;mazowieckie;52,241625;21,009398
00-374;Warszawa;mazowieckie;52,241625;21,009398
00-375;Warszawa;mazowieckie;52,241625;21,009398
00-377;Warszawa;mazowieckie;52,241625;21,009398
00-378;Warszawa;mazowieckie;52,241625;21,009398
00-379;Warszawa;mazowieckie;52,241625;21,009398
00-380;Warszawa;mazowieckie;52,241625;21,009398
00-381;Warszawa;mazowieckie;52,241625;21,009398
00-382;Warszawa;mazowieckie;52,241625;21,009398
00-384;Warszawa;mazowieckie;52,241625;21,009398
00-385;Warszawa;mazowieckie;52,241625;21,009398
00-386;Warszawa;mazowieckie;52,241625;21,009398
00-388;Warszawa;mazowieckie;52,241625;21,009398
00-389;Warszawa;mazowieckie;52,241625;21,009398
00-390;Warszawa;mazowieckie;52,241625;21,009398
00-391;Warszawa;mazowieckie;52,241625;21,009398
00-392;Warszawa;mazowieckie;52,241625;21,009398
00-393;Warszawa;mazowieckie;52,241625;21,009398
00-394;Warszawa;mazowieckie;52,241625;21,009398
00-400;Warszawa;mazowieckie;52,241625;21,009398
00-400;Warszawa;mazowieckie;52,241625;21,009398
00-401;Warszawa;mazowieckie;52,241625;21,009398
00-402;Warszawa;mazowieckie;52,241625;21,009398
00-403;Warszawa;mazowieckie;52,241625;21,009398
00-404;Warszawa;mazowieckie;52,241625;21,009398
00-405;Warszawa;mazowieckie;52,241625;21,009398
00-406;Warszawa;mazowieckie;52,241625;21,009398
00-407;Warszawa;mazowieckie;52,241625;21,009398
00-408;Warszawa;mazowieckie;52,241625;21,009398
00-409;Warszawa;mazowieckie;52,241625;21,009398
00-410;Warszawa;mazowieckie;52,241625;21,009398
00-411;Warszawa;mazowieckie;52,241625;21,009398
00-412;Warszawa;mazowieckie;52,241625;21,009398
00-413;Warszawa;mazowieckie;52,241625;21,009398
00-414;Warszawa;mazowieckie;52,241625;21,009398
00-414;Warszawa;mazowieckie;52,241625;21,009398
00-415;Warszawa;mazowieckie;52,241625;21,009398
00-416;Warszawa;mazowieckie;52,241625;21,009398
00-417;Warszawa;mazowieckie;52,241625;21,009398
00-418;Warszawa;mazowieckie;52,241625;21,009398
00-419;Warszawa;mazowieckie;52,241625;21,009398
00-420;Warszawa;mazowieckie;52,241625;21,009398
00-421;Warszawa;mazowieckie;52,241625;21,009398
00-422;Warszawa;mazowieckie;52,241625;21,009398
00-422;Warszawa;mazowieckie;52,241625;21,009398
00-423;Warszawa;mazowieckie;52,241625;21,009398
00-424;Warszawa;mazowieckie;52,241625;21,009398
00-425;Warszawa;mazowieckie;52,241625;21,009398
00-427;Warszawa;mazowieckie;52,241625;21,009398
00-428;Warszawa;mazowieckie;52,241625;21,009398
00-429;Warszawa;mazowieckie;52,241625;21,009398
00-430;Warszawa;mazowieckie;52,241625;21,009398
00-431;Warszawa;mazowieckie;52,241625;21,009398
00-432;Warszawa;mazowieckie;52,241625;21,009398
00-433;Warszawa;mazowieckie;52,241625;21,009398
00-434;Warszawa;mazowieckie;52,241625;21,009398
00-435;Warszawa;mazowieckie;52,241625;21,009398
00-436;Warszawa;mazowieckie;52,241625;21,009398
00-438;Warszawa;mazowieckie;52,241625;21,009398
00-439;Warszawa;mazowieckie;52,241625;21,009398
00-440;Warszawa;mazowieckie;52,241625;21,009398
00-441;Warszawa;mazowieckie;52,241625;21,009398
00-442;Warszawa;mazowieckie;52,241625;21,009398
00-443;Warszawa;mazowieckie;52,241625;21,009398
00-444;Warszawa;mazowieckie;52,241625;21,009398
00-446;Warszawa;mazowieckie;52,241625;21,009398
00-447;Warszawa;mazowieckie;52,241625;21,009398
00-447;Warszawa;mazowieckie;52,241625;21,009398
00-448;Warszawa;mazowieckie;52,241625;21,009398
00-449;Warszawa;mazowieckie;52,241625;21,009398
00-450;Warszawa;mazowieckie;52,241625;21,009398
00-451;Warszawa;mazowieckie;52,241625;21,009398
00-452;Warszawa;mazowieckie;52,241625;21,009398
00-453;Warszawa;mazowieckie;52,241625;21,009398
00-454;Warszawa;mazowieckie;52,241625;21,009398
00-455;Warszawa;mazowieckie;52,241625;21,009398
00-456;Warszawa;mazowieckie;52,241625;21,009398
00-457;Warszawa;mazowieckie;52,241625;21,009398
00-458;Warszawa;mazowieckie;52,241625;21,009398
00-459;Warszawa;mazowieckie;52,241625;21,009398
00-459;Warszawa;mazowieckie;52,241625;21,009398
00-460;Warszawa;mazowieckie;52,241625;21,009398
00-460;Warszawa;mazowieckie;52,241625;21,009398
00-460;Warszawa;mazowieckie;52,241625;21,009398
00-461;Warszawa;mazowieckie;52,241625;21,009398
00-462;Warszawa;mazowieckie;52,241625;21,009398
00-463;Warszawa;mazowieckie;52,241625;21,009398
00-464;Warszawa;mazowieckie;52,241625;21,009398
00-465;Warszawa;mazowieckie;52,241625;21,009398
00-466;Warszawa;mazowieckie;52,241625;21,009398
00-466;Warszawa;mazowieckie;52,241625;21,009398
00-467;Warszawa;mazowieckie;52,241625;21,009398
00-467;Warszawa;mazowieckie;52,241625;21,009398
00-468;Warszawa;mazowieckie;52,241625;21,009398
00-468;Warszawa;mazowieckie;52,241625;21,009398
00-477;Warszawa;mazowieckie;52,241625;21,009398
00-478;Warszawa;mazowieckie;52,241625;21,009398
00-479;Warszawa;mazowieckie;52,241625;21,009398
00-480;Warszawa;mazowieckie;52,241625;21,009398
00-481;Warszawa;mazowieckie;52,241625;21,009398
00-482;Warszawa;mazowieckie;52,241625;21,009398
00-482;Warszawa;mazowieckie;52,241625;21,009398
00-483;Warszawa;mazowieckie;52,241625;21,009398
00-484;Warszawa;mazowieckie;52,241625;21,009398
00-485;Warszawa;mazowieckie;52,241625;21,009398
00-486;Warszawa;mazowieckie;52,241625;21,009398
00-487;Warszawa;mazowieckie;52,241625;21,009398
00-488;Warszawa;mazowieckie;52,241625;21,009398
00-489;Warszawa;mazowieckie;52,241625;21,009398
00-490;Warszawa;mazowieckie;52,241625;21,009398
00-491;Warszawa;mazowieckie;52,241625;21,009398
00-492;Warszawa;mazowieckie;52,241625;21,009398
00-493;Warszawa;mazowieckie;52,241625;21,009398
00-493;Warszawa;mazowieckie;52,241625;21,009398
00-495;Warszawa;mazowieckie;52,241625;21,009398
00-496;Warszawa;mazowieckie;52,241625;21,009398
00-496;Warszawa;mazowieckie;52,241625;21,009398
00-497;Warszawa;mazowieckie;52,241625;21,009398
00-497;Warszawa;mazowieckie;52,241625;21,009398
00-498;Warszawa;mazowieckie;52,241625;21,009398
00-499;Warszawa;mazowieckie;52,241625;21,009398
00-501;Warszawa;mazowieckie;52,241625;21,009398
00-502;Warszawa;mazowieckie;52,241625;21,009398
00-503;Warszawa;mazowieckie;52,241625;21,009398
00-504;Warszawa;mazowieckie;52,241625;21,009398
00-505;Warszawa;mazowieckie;52,241625;21,009398
00-507;Warszawa;mazowieckie;52,241625;21,009398
00-508;Warszawa;mazowieckie;52,241625;21,009398
00-509;Warszawa;mazowieckie;52,241625;21,009398
00-510;Warszawa;mazowieckie;52,241625;21,009398
00-511;Warszawa;mazowieckie;52,241625;21,009398
00-512;Warszawa;mazowieckie;52,241625;21,009398
00-513;Warszawa;mazowieckie;52,241625;21,009398
00-514;Warszawa;mazowieckie;52,241625;21,009398
00-515;Warszawa;mazowieckie;52,241625;21,009398
00-516;Warszawa;mazowieckie;52,241625;21,009398
00-517;Warszawa;mazowieckie;52,241625;21,009398
00-518;Warszawa;mazowieckie;52,241625;21,009398
00-519;Warszawa;mazowieckie;52,241625;21,009398
00-519;Warszawa;mazowieckie;52,241625;21,009398
00-521;Warszawa;mazowieckie;52,241625;21,009398
